market_scenario,Sim1_final_price,Sim1_final_node_count,INITIAL_NODE_COUNT,BASE_USD_DEMAND_GROWTH_RATE_MONTHLY,INITIAL_DRIA_PRICE_USD,MARKET_TREND_IMPACT_FACTOR,INITIAL_USD_CREDIT_PURCHASE_PER_MONTH,INITIAL_DRIA_PAYMENTS_FOR_SERVICES_PER_MONTH,SIMULATION_YEARS
Baseline,0.06257084248779814,17,1000,0.005,0.25,0.25,50000,100000,5
Baseline,0.06257084248779814,17,1000,0.005,0.25,0.25,50000,200000,5
Baseline,0.11348284088128878,17,1000,0.005,0.25,0.25,100000,100000,5
Baseline,0.06257084248779814,17,1000,0.005,0.25,0.25,50000,400000,5
Baseline,0.3137456094588174,7,1000,0.005,0.25,0.25,50000,100000,10
Baseline,0.11348284088128878,17,1000,0.005,0.25,0.25,100000,200000,5
Baseline,0.3137456094588174,7,1000,0.005,0.25,0.25,50000,200000,10
Baseline,0.3137456094588174,7,1000,0.005,0.25,0.25,50000,400000,10
Baseline,0.6269010916935653,7,1000,0.005,0.25,0.25,100000,100000,10
Baseline,0.11348284088128878,17,1000,0.005,0.25,0.25,100000,400000,5
Baseline,0.21530683766827008,17,1000,0.005,0.25,0.25,200000,100000,5
Baseline,0.6269010916935653,7,1000,0.005,0.25,0.25,100000,200000,10
Baseline,0.21530683766827008,17,1000,0.005,0.25,0.25,200000,200000,5
Baseline,0.21530683766827008,17,1000,0.005,0.25,0.25,200000,400000,5
Baseline,0.6269010916935653,7,1000,0.005,0.25,0.25,100000,400000,10
Baseline,0.0628115258397664,17,1000,0.005,0.25,0.5,50000,100000,5
Baseline,1.2532120561630609,7,1000,0.005,0.25,0.25,200000,100000,10
Baseline,1.2532120561630609,7,1000,0.005,0.25,0.25,200000,200000,10
Baseline,0.0628115258397664,17,1000,0.005,0.25,0.5,50000,200000,5
Baseline,0.3162629038849779,7,1000,0.005,0.25,0.5,50000,100000,10
Baseline,0.0628115258397664,17,1000,0.005,0.25,0.5,50000,400000,5
Baseline,1.2532120561630609,7,1000,0.005,0.25,0.25,200000,400000,10
Baseline,0.11396420758522532,17,1000,0.005,0.25,0.5,100000,100000,5
Baseline,0.3162629038849779,7,1000,0.005,0.25,0.5,50000,200000,10
Baseline,0.3162629038849779,7,1000,0.005,0.25,0.5,50000,400000,10
Baseline,0.11396420758522532,17,1000,0.005,0.25,0.5,100000,200000,5
Baseline,0.11396420758522532,17,1000,0.005,0.25,0.5,100000,400000,5
Baseline,0.6319356805458863,7,1000,0.005,0.25,0.5,100000,100000,10
Baseline,0.2162695710761431,17,1000,0.005,0.25,0.5,200000,100000,5
Baseline,0.6319356805458863,7,1000,0.005,0.25,0.5,100000,200000,10
Baseline,0.2162695710761431,17,1000,0.005,0.25,0.5,200000,200000,5
Baseline,0.6319356805458863,7,1000,0.005,0.25,0.5,100000,400000,10
Baseline,0.2162695710761431,17,1000,0.005,0.25,0.5,200000,400000,5
Baseline,0.06305314654483778,17,1000,0.005,0.25,0.75,50000,100000,5
Baseline,1.2632812338677035,7,1000,0.005,0.25,0.5,200000,100000,10
Baseline,1.2632812338677035,7,1000,0.005,0.25,0.5,200000,200000,10
Baseline,0.06305314654483778,17,1000,0.005,0.25,0.75,50000,200000,5
Baseline,1.2632812338677035,7,1000,0.005,0.25,0.5,200000,400000,10
Baseline,0.31879819491562433,7,1000,0.005,0.25,0.75,50000,100000,10
Baseline,0.06305314654483778,17,1000,0.005,0.25,0.75,50000,400000,5
Baseline,0.31879819491562433,7,1000,0.005,0.25,0.75,50000,200000,10
Baseline,0.11444744899536806,17,1000,0.005,0.25,0.75,100000,100000,5
Baseline,0.11444744899536806,17,1000,0.005,0.25,0.75,100000,200000,5
Baseline,0.31879819491562433,7,1000,0.005,0.25,0.75,50000,400000,10
Baseline,0.11444744899536806,17,1000,0.005,0.25,0.75,100000,400000,5
Baseline,0.6370062626071791,7,1000,0.005,0.25,0.75,100000,100000,10
Baseline,0.21723605389642864,17,1000,0.005,0.25,0.75,200000,100000,5
Baseline,0.21723605389642864,17,1000,0.005,0.25,0.75,200000,200000,5
Baseline,0.6370062626071791,7,1000,0.005,0.25,0.75,100000,400000,10
Baseline,0.6370062626071791,7,1000,0.005,0.25,0.75,100000,200000,10
Baseline,0.21723605389642864,17,1000,0.005,0.25,0.75,200000,400000,5
Baseline,1.273422397990289,7,1000,0.005,0.25,0.75,200000,200000,10
Baseline,1.273422397990289,7,1000,0.005,0.25,0.75,200000,100000,10
Baseline,0.07422968658210562,17,1000,0.005,0.5,0.25,50000,100000,5
Baseline,1.273422397990289,7,1000,0.005,0.25,0.75,200000,400000,10
Baseline,0.07422968658210562,17,1000,0.005,0.5,0.25,50000,200000,5
Baseline,0.07422968658210562,17,1000,0.005,0.5,0.25,50000,400000,5
Baseline,0.12514168497559627,17,1000,0.005,0.5,0.25,100000,100000,5
Baseline,0.3143357366828871,7,1000,0.005,0.5,0.25,50000,100000,10
Baseline,0.12514168497559627,17,1000,0.005,0.5,0.25,100000,200000,5
Baseline,0.3143357366828871,7,1000,0.005,0.5,0.25,50000,200000,10
Baseline,0.12514168497559627,17,1000,0.005,0.5,0.25,100000,400000,5
Baseline,0.3143357366828871,7,1000,0.005,0.5,0.25,50000,400000,10
Baseline,0.22696568176257756,17,1000,0.005,0.5,0.25,200000,100000,5
Baseline,0.6274912189176348,7,1000,0.005,0.5,0.25,100000,200000,10
Baseline,0.6274912189176348,7,1000,0.005,0.5,0.25,100000,100000,10
Baseline,0.22696568176257756,17,1000,0.005,0.5,0.25,200000,200000,5
Baseline,0.6274912189176348,7,1000,0.005,0.5,0.25,100000,400000,10
Baseline,0.22696568176257756,17,1000,0.005,0.5,0.25,200000,400000,5
Baseline,0.07447036993407391,17,1000,0.005,0.5,0.5,50000,100000,5
Baseline,1.2538021833871307,7,1000,0.005,0.5,0.25,200000,200000,10
